date,precipitation
2018-01-01,1.4604007726452777
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,19.9854478542081
2018-01-07,15.188416449977199
2018-01-08,14.09459334494938
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.003201639477648302
2018-01-12,0.0
2018-01-13,1.290893654450139
2018-01-14,2.1804261352790526
2018-01-15,0.8081381837735929
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,5.496992681036688
2018-01-19,2.603376611125605
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.46817156876170957
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,5.287949218981943
2018-01-29,34.0876369369605
2018-01-30,0.001819762739735826
2018-01-31,4.660928054550393
2018-02-01,0.0
2018-02-02,0.3984956647842394
2018-02-03,0.0
2018-02-04,14.149928058908538
2018-02-05,2.580684552939369
2018-02-06,0.9324659835431819
2018-02-07,0.07884126318692274
2018-02-08,11.362257035379606
2018-02-09,0.0
2018-02-10,0.06920829541959722
2018-02-11,1.4497127129450944
2018-02-12,0.061983103663058946
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.7670205692945691
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,1.1862708538708302
2018-02-20,0.004961170114988461
2018-02-21,0.0
2018-02-22,0.2801500851136014
2018-02-23,0.0
2018-02-24,1.0056674151706502
2018-02-25,0.0
2018-02-26,0.5427981621965284
2018-02-27,0.0
2018-02-28,8.18558807432011
2018-03-01,0.3341165377940055
2018-03-02,0.13968940277630276
2018-03-03,0.4062741846239985
2018-03-04,0.011900106274838252
2018-03-05,0.8607402667304616
2018-03-06,14.712936387012794
2018-03-07,15.147711497189604
2018-03-08,1.3926594248141384
2018-03-09,0.0
2018-03-10,0.3518334120332793
2018-03-11,1.153341398752564
2018-03-12,0.24176367655238848
2018-03-13,5.654140219899149
2018-03-14,7.519259351786857
2018-03-15,12.265655245080987
2018-03-16,3.5787735135259187
2018-03-17,2.034144941347769
2018-03-18,0.06629529774327186
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,1.146471893303795
2018-03-24,2.5730180996284804
2018-03-25,0.5023633465389108
2018-03-26,0.033060311978089195
2018-03-27,0.0
2018-03-28,1.1636676417967569
2018-03-29,2.9704839568593897
2018-03-30,1.6434288719178625
2018-03-31,0.004481478750803464
2018-04-01,0.0
2018-04-02,4.090282632900035
2018-04-03,0.10706883489778851
2018-04-04,0.0
2018-04-05,0.022762733399356753
2018-04-06,1.3173989578085183
2018-04-07,0.01123786272545372
2018-04-08,0.0
2018-04-09,0.004576195852388275
2018-04-10,0.09172581106142863
2018-04-11,0.010720068517330159
2018-04-12,26.899226878083887
2018-04-13,10.333189476838568
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.003484406137145532
2018-04-19,3.77643265553353
2018-04-20,0.8189544162075366
2018-04-21,4.18700525088515
2018-04-22,0.1409973006443615
2018-04-23,1.021014279882051
2018-04-24,13.75265217338394
2018-04-25,1.4012173274817998
2018-04-26,0.059775224246413114
2018-04-27,0.0
2018-04-28,2.0365275078811766
2018-04-29,0.03358026670734108
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.5022756856872828
2018-05-04,1.019981353355375
2018-05-05,0.03490536259976549
2018-05-06,0.4006577566257909
2018-05-07,2.493862247788154
2018-05-08,3.128065801378252
2018-05-09,0.023615053079182567
2018-05-10,0.26335755428312085
