date,RH
2018-01-01,43.63072567325451
2018-01-02,35.36361828384035
2018-01-03,39.22272125732257
2018-01-04,41.38911734276148
2018-01-05,43.92600275819204
2018-01-06,72.86567809958335
2018-01-07,74.28972161441041
2018-01-08,59.090895914263186
2018-01-09,70.97231713966909
2018-01-10,87.71638030410519
2018-01-11,65.36381583899504
2018-01-12,45.1742350227536
2018-01-13,42.59577205052119
2018-01-14,70.36501244837764
2018-01-15,62.241941851570715
2018-01-16,52.483813734729075
2018-01-17,36.51134339497738
2018-01-18,41.91103333149645
2018-01-19,72.42091926823868
2018-01-20,57.6970332656294
2018-01-21,40.17406035556571
2018-01-22,45.916110424882724
2018-01-23,46.426988139223035
2018-01-24,43.819285029793726
2018-01-25,47.595620367726795
2018-01-26,54.81245607420384
2018-01-27,61.5198174453421
2018-01-28,55.229401691579326
2018-01-29,61.71420360790638
2018-01-30,53.978847706514635
2018-01-31,57.219600897264826
2018-02-01,52.954862335786466
2018-02-02,77.00599062110331
2018-02-03,48.912874909368504
2018-02-04,42.38888640401764
2018-02-05,77.77444839456331
2018-02-06,74.14080261028916
2018-02-07,54.46194272436548
2018-02-08,64.6047119092722
2018-02-09,62.553463101005235
2018-02-10,80.59165205876694
2018-02-11,62.06812486308561
2018-02-12,54.61893170818647
2018-02-13,54.955875386863354
2018-02-14,42.47902091776292
2018-02-15,33.46316061236628
2018-02-16,42.62691510315685
2018-02-17,51.217168943088886
2018-02-18,38.35618537307301
2018-02-19,48.27972743298773
2018-02-20,52.77219361889869
2018-02-21,45.82326095975952
2018-02-22,58.788858407922596
2018-02-23,38.95216283333742
2018-02-24,52.89881259456997
2018-02-25,45.33387923604247
2018-02-26,38.801810867460844
2018-02-27,45.03376451900206
2018-02-28,34.012805491437135
2018-03-01,65.33356176268731
2018-03-02,44.17000024445263
2018-03-03,58.850670014306885
2018-03-04,67.87984718027944
2018-03-05,58.8001831334934
2018-03-06,70.61118057638096
2018-03-07,78.30300379583574
2018-03-08,72.03737798925268
2018-03-09,50.36234304678514
2018-03-10,52.063721476571075
2018-03-11,56.56050559146193
2018-03-12,46.110990410204636
2018-03-13,46.48115390277957
2018-03-14,44.63755075546404
2018-03-15,59.86902868848191
2018-03-16,76.63077422445325
2018-03-17,49.542055935923536
2018-03-18,73.30849470940198
2018-03-19,53.05220041376461
2018-03-20,61.19294602289908
2018-03-21,47.77674000647768
2018-03-22,45.04295766597834
2018-03-23,36.163668639112785
2018-03-24,77.93570741292855
2018-03-25,65.50697502000071
2018-03-26,46.393098561521015
2018-03-27,36.08352604621185
2018-03-28,33.93963528953713
2018-03-29,42.971075056303874
2018-03-30,55.87365080261147
2018-03-31,47.4653183462168
2018-04-01,32.45122584568793
2018-04-02,43.05303239137112
2018-04-03,51.36720481028171
2018-04-04,52.06132344864485
2018-04-05,38.094675352907686
2018-04-06,44.8896692380385
2018-04-07,69.93169361315707
2018-04-08,63.98902120880693
2018-04-09,64.85665979610968
2018-04-10,50.387738560306765
2018-04-11,72.18275000344904
2018-04-12,53.461200054060654
2018-04-13,69.40414394728474
2018-04-14,66.0557862456494
2018-04-15,47.848493305253996
2018-04-16,50.200997032810356
2018-04-17,42.44727534258694
2018-04-18,37.752972236586714
2018-04-19,38.646614968721046
2018-04-20,36.16917047526675
2018-04-21,37.97299060297273
2018-04-22,37.17082395186912
2018-04-23,39.2412865763424
2018-04-24,56.9574139070789
2018-04-25,74.42859046981879
2018-04-26,70.18724243195823
2018-04-27,53.06716656994398
2018-04-28,62.89679204724245
2018-04-29,50.471846297249535
2018-04-30,51.329970373978384
2018-05-01,69.2328651353991
2018-05-02,42.40211730821378
2018-05-03,51.10231540413685
2018-05-04,56.0532212508863
2018-05-05,51.98276486343942
2018-05-06,43.268034614763856
2018-05-07,67.57745482377919
2018-05-08,62.2768572073784
2018-05-09,53.21740982963195
2018-05-10,52.32114483988143
2018-05-11,46.97257397295876
2018-05-12,51.38677339914567
2018-05-13,38.97473300770938
2018-05-14,31.861468897358336
2018-05-15,34.56008070821563
2018-05-16,36.12588921505444
2018-05-17,62.611183146729
2018-05-18,57.2292973982641
2018-05-19,52.6421387449327
2018-05-20,43.543692240785894
2018-05-21,55.480592926572726
2018-05-22,41.7998184891974
2018-05-23,39.139914566346675
2018-05-24,56.26665262827936
2018-05-25,50.47375482615563
2018-05-26,45.74057992622622
2018-05-27,61.87377949554363
2018-05-28,47.63077681998008
2018-05-29,50.95903226899727
2018-05-30,44.452348698002055
2018-05-31,43.050923290319645
2018-06-01,49.08224838314446
2018-06-02,50.45305576331286
2018-06-03,34.677220489192905
2018-06-04,38.6126482932607
2018-06-05,45.9419663691202
2018-06-06,43.26293018420153
2018-06-07,34.628581803398795
2018-06-08,35.16581478735436
2018-06-09,55.52613705629548
2018-06-10,48.14856105010621
2018-06-11,42.04088011412448
2018-06-12,39.69767809459429
2018-06-13,36.73563954225126
2018-06-14,36.34085658587598
2018-06-15,27.652071548471774
2018-06-16,27.838761752504315
2018-06-17,25.60294871737792
2018-06-18,31.185524330540492
2018-06-19,29.036730693659656
2018-06-20,33.342887625702566
2018-06-21,41.41535981770117
2018-06-22,41.58571709840585
2018-06-23,30.14387924455525
2018-06-24,31.04591114176709
2018-06-25,45.52217270473538
2018-06-26,45.39058363864463
2018-06-27,44.46832607147038
2018-06-28,40.998500105605174
2018-06-29,38.35065711863566
2018-06-30,39.22124842729189
2018-07-01,46.71215132953913
2018-07-02,38.33265413231232
2018-07-03,30.90008169847684
2018-07-04,34.88059994237599
2018-07-05,28.03806044199084
